"","X","date","wx","wy"
"215",524435,"2009-12-31 04:34:00",-2.06538295985951,-2.29384016313494
"216",524436,"2009-12-31 04:35:00",-0.902453917278393,-2.9517937583913
"217",524437,"2009-12-31 04:36:00",-0.794860311305116,-2.44632849445775
"218",524438,"2009-12-31 04:37:00",-1.72115246654959,-1.91153346927911
"219",524439,"2009-12-31 04:38:00",-2.08097131130512,-1.51191415722225
"220",524440,"2009-12-31 04:39:00",-2.72536466783853,-1.4491020986067
"221",524441,"2009-12-31 04:40:00",-2.87597496049482,-2.16720257947509
"222",524442,"2009-12-31 04:41:00",-3.05845355084658,-2.75384394647935
"223",524443,"2009-12-31 04:42:00",-2.5015417601703,-2.59042232386936
"224",524444,"2009-12-31 04:43:00",-2.5015417601703,-2.59042232386936
"225",524445,"2009-12-31 04:44:00",-3.05391515798834,-1.90829798555825
"226",524446,"2009-12-31 04:45:00",-2.58869626274606,-1.68111900950931
"227",524447,"2009-12-31 04:46:00",-2.58869626274606,-1.68111900950931
"228",524448,"2009-12-31 04:47:00",-1.7260419462616,-2.55896241954321
"229",524449,"2009-12-31 04:48:00",-1.10616230869837,-2.88165133416658
"230",524450,"2009-12-31 04:49:00",-2.64542788954101,-3.15269819130941
"231",524451,"2009-12-31 04:50:00",-3.21626797736181,-3.33054298783204
"232",524452,"2009-12-31 04:51:00",-4.16194262261023,-3.0238283144445
"233",524453,"2009-12-31 04:52:00",-4.36273593998335,-2.72613997936893
"234",524454,"2009-12-31 04:53:00",-3.69768209206476,-2.78640331646797
"235",524455,"2009-12-31 04:54:00",-2.87597496049482,-2.16720257947509
"236",524456,"2009-12-31 04:55:00",-2.52844909159814,-1.77043911391651
"237",524457,"2009-12-31 04:56:00",-2.25744489730352,-2.10510142286002
"238",524458,"2009-12-31 04:57:00",-2.18260274270067,-2.18260274270067
"239",524459,"2009-12-31 04:58:00",-1.97043636956838,-1.65339243096313
"240",524460,"2009-12-31 04:59:00",-1.12758790793609,-2.31189781935974
"241",524461,"2009-12-31 05:00:00",-1.11280443582716,-3.42485989224085
"242",524462,"2009-12-31 05:01:00",-1.75425118571668,-1.88120408108627
"243",524463,"2009-12-31 05:02:00",-1.55302446868782,-1.35002357413442
"244",524464,"2009-12-31 05:03:00",-1.74509437599334,-1.09045599174757
"245",524465,"2009-12-31 05:04:00",-1.94566694525218,-0.669946855515278
"246",524466,"2009-12-31 05:05:00",-2.24971605233751,-1.24703797100927
"247",524467,"2009-12-31 05:06:00",-2.29186658366085,-1.16776435122106
"248",524468,"2009-12-31 05:07:00",-1.24858278678307,-0.90714849433335
"249",524469,"2009-12-31 05:08:00",-1.35002357413442,-1.55302446868782
"250",524470,"2009-12-31 05:09:00",-1.88120408108627,-1.75425118571668
"251",524471,"2009-12-31 05:10:00",-2.29384016313494,-2.06538295985951
"252",524472,"2009-12-31 05:11:00",-2.98545615613374,-2.01371560397186
"253",524473,"2009-12-31 05:12:00",-2.85890486876605,-2.9604826558507
"254",524474,"2009-12-31 05:13:00",-2.02503536120163,-2.32953670303173
"255",524475,"2009-12-31 05:14:00",-2.86190725051379,-1.15628558511536
"256",524476,"2009-12-31 05:15:00",-4.05303066890971,-0.714658660567659
"257",524477,"2009-12-31 05:16:00",-3.54640183529599,-0.625326327996702
"258",524478,"2009-12-31 05:17:00",-2.52496303706212,-0.490803095705447
"259",524479,"2009-12-31 05:18:00",-2.03244294305785,-0.32190733802777
"260",524480,"2009-12-31 05:19:00",-1.24858278678307,-0.90714849433335
"261",524481,"2009-12-31 05:20:00",-0.652240794270711,-1.39873489715219
"262",524482,"2009-12-31 05:21:00",-1.18029274261101,-1.6856327277321
"263",524483,"2009-12-31 05:22:00",-1.83349326692868,-0.934211480976845
"264",524484,"2009-12-31 05:23:00",-2.05495748731638,-0.10769575843131
"265",524485,"2009-12-31 05:24:00",-2.01997042964969,-0.392642476564358
"266",524486,"2009-12-31 05:25:00",-2.29186658366085,-1.16776435122106
"267",524487,"2009-12-31 05:26:00",-2.75023990039302,-1.40131722146527
"268",524488,"2009-12-31 05:27:00",-2.33122482858699,-1.08706799045119
"269",524489,"2009-12-31 05:28:00",-2.15724688562171,-1.40093250792442
"270",524490,"2009-12-31 05:29:00",-2.46512139470984,-1.85760221097865
"271",524491,"2009-12-31 05:30:00",-2.39879032712493,-1.9425021058884
"272",524492,"2009-12-31 05:31:00",-2.05426782892487,-1.54800184248221
"273",524493,"2009-12-31 05:32:00",-2.34984172414837,-1.04621694152572
"274",524494,"2009-12-31 05:33:00",-2.15724688562171,-1.40093250792442
"275",524495,"2009-12-31 05:34:00",-1.50496326486901,-1.40340094857334
"276",524496,"2009-12-31 05:35:00",-1.2950014039256,-1.59919355141662
"277",524497,"2009-12-31 05:36:00",-0.676552744761657,-1.38713869161584
"278",524498,"2009-12-31 05:37:00",-0.578142792557679,-1.43095362525689
"279",524499,"2009-12-31 05:38:00",-1.07208932578727,-1.11018099594401
"280",524500,"2009-12-31 05:39:00",-1.53746035122897,-0.134510351353121
"281",524501,"2009-12-31 05:40:00",-1.53957371789246,0.107657481844236
"282",524502,"2009-12-31 05:41:00",-1.53487865924878,-0.161322247705951
"283",524503,"2009-12-31 05:42:00",-0.560373003169769,-0.862898754248686
"284",524504,"2009-12-31 05:43:00",-0.184360384783062,-0.480275222361097
"285",524505,"2009-12-31 05:44:00",-0.891043838469287,-0.5144444
"286",524506,"2009-12-31 05:45:00",-1.34982963140251,-0.748222782605565
"287",524507,"2009-12-31 05:46:00",-0.575347315420532,-0.85298747318107
"288",524508,"2009-12-31 05:47:00",-0.0717716545628246,-1.02638247859497
"289",524509,"2009-12-31 05:48:00",-0.467105740488423,-0.916746633464341
"290",524510,"2009-12-31 05:49:00",-1.26689439310809,-1.62155087733103
"291",524511,"2009-12-31 05:50:00",-1.51191415722225,-2.08097131130512
"292",524512,"2009-12-31 05:51:00",-2.06538295985951,-2.29384016313494
